"","AAGE","F_ACLSWKR","F_EDUCATION","F_STATUSMARIT","F_AMJIND","F_AMJOCC","F_RACE","F_ORIGIN","F_ASEX","F_AWKSTAT","F_FILESTATUS","F_HHDFMX","F_HHDREL","MARSUPWT","CHILDS","F_CONBIRTHFATH","F_CONBIRTHMOTH","F_PENATVTY","F_PRCITSHP","WKSWORKYEAR","TARGET"
"184",44,"Local_government","Masters_degree(MA_MS_MEng_MEd_MSW_MBA)","Married-civilian_spouse_present","Education","Professional_specialty","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1643.75,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"185",33,"Private","High_school_graduate","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",289.6,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"186",41,"Private","Associates_degree-occup_/vocational","Married-civilian_spouse_present","Wholesale_trade","Sales","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1858.26,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"187",42,"Private","High_school_graduate","Married-civilian_spouse_present","Retail_trade","Machine_operators_assmblrs_&_inspctrs","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2282.57,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",20,"-_50000."
"188",15,"Private","11th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Not_in_labor_force","Nonfiler","Other_Rel_<18_never_marr_child_of_subfamily_RP","Other_relative_of_householder",1078.51,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"189",25,"Private","1st_2nd_3rd_or_4th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican_(Mexicano)","Female","Not_in_labor_force","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",2426.74,3,"Mexico","Mexico","Mexico","Foreign_born-_Not_a_citizen_of_U_S",8,"-_50000."
"190",36,"Private","Prof_school_degree_(MD_DDS_DVM_LLB_JD)","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Professional_specialty","Black","All_other","Female","PT_for_econ_reasons_usually_PT","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2657.58,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"191",34,"Private","Associates_degree-occup_/vocational","Divorced","Agriculture","Farming_forestry_and_fishing","White","All_other","Male","Full-time_schedules","Head_of_household","Householder","Householder",384.2,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"192",41,"Self-employed-not_incorporated","Doctorate_degree(PhD_EdD)","Never_married","Other_professional_services","Professional_specialty","White","All_other","Male","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",453.68,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"193",43,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Householder","Householder",1990.24,0,"United-States","United-States","United-States","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"194",43,"Local_government","Associates_degree-occup_/vocational","Married-civilian_spouse_present","Education","Other_service","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1005.69,5,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"195",65,"Private","Associates_degree-occup_/vocational","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_65+","Spouse_of_householder","Spouse_of_householder",703.36,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"196",11,"Private","Children","Never_married","Not_in_universe_or_children","Professional_specialty","Asian_or_Pacific_Islander","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",856.52,0,"Vietnam","Vietnam","Vietnam","Foreign_born-_Not_a_citizen_of_U_S",0,"-_50000."
"197",31,"Private","High_school_graduate","Never_married","Agriculture","Farming_forestry_and_fishing","White","All_other","Male","Children_or_Armed_Forces","Single","Householder","Householder",2419.92,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"198",43,"Private","Associates_degree-academic_program","Married-civilian_spouse_present","Hospital_services","Professional_specialty","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",3036.87,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"199",47,"Federal_government","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Public_administration","Executive_admin_and_managerial","Other","Central_or_South_American","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",2435.08,1,"Italy","Peru","Peru","Foreign_born-_U_S_citizen_by_naturalization",52,"-_50000."
"200",41,"Private","Some_college_but_no_degree","Never_married","Manufacturing-durable_goods","Machine_operators_assmblrs_&_inspctrs","White","All_other","Female","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",1703.78,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"201",3,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",275.86,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"202",10,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2721.59,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"203",2,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Puerto_Rican","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1383.39,0,"Puerto-Rico","Puerto-Rico","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"204",31,"Private","Bachelors_degree(BA_AB_BS)","Married-spouse_absent","Business_and_repair_services","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Single","Secondary_individual","Nonrelative_of_householder",1444.01,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"205",4,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",3438.89,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"206",7,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2391.17,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"207",63,"Federal_government","High_school_graduate","Widowed","Transportation","Executive_admin_and_managerial","White","All_other","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",488.78,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"208",22,"Private","Some_college_but_no_degree","Never_married","Business_and_repair_services","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Single","Nonfamily_householder","Householder",2127.92,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",39,"-_50000."
"209",1,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_under_18_of_RP_of_unrel_subfamily","Nonrelative_of_householder",581.34,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"210",15,"Private","7th_and_8th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1932.66,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"211",39,"Private","11th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Not_in_labor_force","Nonfiler","Householder","Householder",1934.34,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"212",32,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Retail_trade","Sales","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1690.3,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"213",34,"Private","High_school_graduate","Married-civilian_spouse_present","Manufacturing-nondurable_goods","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",388.8,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"214",1,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1423.38,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"215",2,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2272.34,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"216",16,"Private","9th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Not_in_labor_force","Single","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1024.34,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",13,"-_50000."
"217",46,"Private","7th_and_8th_grade","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Executive_admin_and_managerial","Asian_or_Pacific_Islander","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",797.35,1,"Outlying-U_S_(Guam_USVI_etc)","United-States","Outlying-U_S_(Guam_USVI_etc)","Native-_Born_in_Puerto_Rico_or_U_S_Outlying",52,"-_50000."
"218",18,"Private","Some_college_but_no_degree","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Female","Not_in_labor_force","Nonfiler","Householder","Householder",768.25,0,"Mexico","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"219",70,"Private","High_school_graduate","Widowed","Finance_insurance_and_real_estate","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Single","Householder","Householder",867.48,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"220",8,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Asian_or_Pacific_Islander","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1541.15,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"221",35,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Retail_trade","Executive_admin_and_managerial","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",358.55,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"222",27,"Private","High_school_graduate","Divorced","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican-American","Female","Children_or_Armed_Forces","Head_of_household","Householder","Householder",1075.1,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",16,"-_50000."
"223",57,"Private","1st_2nd_3rd_or_4th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Puerto_Rican","Female","Not_in_labor_force","Nonfiler","Nonfamily_householder","Householder",796.41,0,"Puerto-Rico","Puerto-Rico","Puerto-Rico","Native-_Born_in_Puerto_Rico_or_U_S_Outlying",0,"-_50000."
"224",42,"Private","Associates_degree-occup_/vocational","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Not_in_labor_force","Joint_both_under_65","Householder","Householder",1315.61,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"225",38,"Self-employed-incorporated","Some_college_but_no_degree","Married-civilian_spouse_present","Business_and_repair_services","Executive_admin_and_managerial","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",512.15,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"226",6,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1067,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"227",11,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1200.5,0,"United-States","Puerto-Rico","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"228",26,"Private","7th_and_8th_grade","Married-civilian_spouse_present","Manufacturing-nondurable_goods","Other_service","White","Mexican_(Mexicano)","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",605.73,4,"Mexico","Mexico","Mexico","Foreign_born-_Not_a_citizen_of_U_S",52,"-_50000."
"229",31,"Self-employed-not_incorporated","Some_college_but_no_degree","Married-civilian_spouse_present","Retail_trade","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Householder","Householder",2530.9,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"230",18,"Private","11th_grade","Never_married","Retail_trade","Handlers_equip_cleaners_etc","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",1901.27,0,"United-States","Yugoslavia","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"231",62,"Local_government","High_school_graduate","Married-civilian_spouse_present","Public_administration","Transportation_and_material_moving","Black","All_other","Male","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",3957.83,5,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"232",22,"Private","Some_college_but_no_degree","Never_married","Business_and_repair_services","Adm_support_including_clerical","White","All_other","Female","PT_for_non-econ_reasons_usually_FT","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",1997.29,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"233",67,"Private","Some_college_but_no_degree","Divorced","Finance_insurance_and_real_estate","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",1971.97,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"234",26,"Self-employed-not_incorporated","High_school_graduate","Married-civilian_spouse_present","Manufacturing-durable_goods","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",484.43,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"235",70,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_65+","Spouse_of_householder","Spouse_of_householder",1040.18,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"236",27,"Self-employed-not_incorporated","12th_grade_no_diploma","Married-civilian_spouse_present","Construction","Executive_admin_and_managerial","White","Puerto_Rican","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",941.93,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"237",45,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Business_and_repair_services","Professional_specialty","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1757.67,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"238",23,"Private","10th_grade","Married-civilian_spouse_present","Retail_trade","Sales","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2324.08,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",26,"-_50000."
"239",42,"Private","Some_college_but_no_degree","Never_married","Business_and_repair_services","Other_service","White","All_other","Male","Children_or_Armed_Forces","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",5334.5,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"240",48,"Self-employed-not_incorporated","High_school_graduate","Married-civilian_spouse_present","Agriculture","Farming_forestry_and_fishing","White","All_other","Female","PT_for_non-econ_reasons_usually_FT","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1514.82,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"241",26,"Private","High_school_graduate","Married-civilian_spouse_present","Retail_trade","Sales","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2032.85,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",26,"-_50000."
"242",1,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","Mexican_(Mexicano)","Female","Children_or_Armed_Forces","Nonfiler","Other_Rel_<18_never_marr_child_of_subfamily_RP","Other_relative_of_householder",2487.82,0,"Mexico","Mexico","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"243",3,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1667.99,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"244",10,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2131.44,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"245",32,"Private","Associates_degree-academic_program","Married-civilian_spouse_present","Entertainment","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1704.35,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"246",13,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1530.81,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"247",78,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Professional_specialty","White","All_other","Male","Children_or_Armed_Forces","Joint_both_65+","Householder","Householder",1415.56,0,"Cambodia","Italy","Italy","Foreign_born-_U_S_citizen_by_naturalization",0,"-_50000."
"248",13,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Grandchild_<18_never_marr_not_in_subfamily","Other_relative_of_householder",2058.09,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"249",5,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1121.69,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"250",20,"Private","High_school_graduate","Never_married","Retail_trade","Adm_support_including_clerical","White","All_other","Male","Unemployed_full-time","Single","Grandchild_18+_never_marr_not_in_subfamily","Other_relative_of_householder",4308.22,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",40,"-_50000."
"251",4,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",2039.23,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"252",39,"State_government","Masters_degree(MA_MS_MEng_MEd_MSW_MBA)","Married-civilian_spouse_present","Education","Professional_specialty","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1213.85,5,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"253",14,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",959.09,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"254",26,"Private","Bachelors_degree(BA_AB_BS)","Never_married","Retail_trade","Handlers_equip_cleaners_etc","White","All_other","Male","Children_or_Armed_Forces","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",1724.64,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"255",30,"Private","Associates_degree-occup_/vocational","Divorced","Manufacturing-durable_goods","Machine_operators_assmblrs_&_inspctrs","White","All_other","Female","Full-time_schedules","Nonfiler","Householder","Householder",2672.37,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"256",15,"Private","9th_grade","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Not_in_labor_force","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1494.04,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"257",28,"State_government","Some_college_but_no_degree","Married-civilian_spouse_present","Education","Adm_support_including_clerical","Asian_or_Pacific_Islander","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",910.37,2,"United-States","El-Salvador","United-States","Native-_Born_in_the_United_States",40,"-_50000."
"258",37,"Private","High_school_graduate","Married-civilian_spouse_present","Retail_trade","Sales","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",616.82,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"259",57,"Private","10th_grade","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",3306.61,1,"United-States","United-States","United-States","Native-_Born_in_the_United_States",4,"-_50000."
"260",42,"Private","High_school_graduate","Married-civilian_spouse_present","Retail_trade","Precision_production_craft_&_repair","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",2413.74,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"261",27,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",1963.42,6,"United-States","United-States","Germany","Native-_Born_abroad_of_American_Parent(s)",52,"-_50000."
"262",21,"Private","Some_college_but_no_degree","Never_married","Agriculture","Farming_forestry_and_fishing","White","All_other","Male","PT_for_non-econ_reasons_usually_FT","Single","Nonfamily_householder","Householder",2243.88,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",38,"-_50000."
"263",45,"Federal_government","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Hospital_services","Professional_specialty","Asian_or_Pacific_Islander","All_other","Female","Full-time_schedules","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1300.13,6,"Philippines","Philippines","Philippines","Foreign_born-_U_S_citizen_by_naturalization",34,"-_50000."
"264",25,"State_government","Bachelors_degree(BA_AB_BS)","Never_married","Public_administration","Professional_specialty","White","Mexican-American","Female","Full-time_schedules","Single","Nonfamily_householder","Householder",982.77,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"265",6,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",296.63,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"266",25,"Private","Some_college_but_no_degree","Never_married","Medical_except_hospital","Technicians_and_related_support","White","All_other","Male","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",2691.02,6,"United-States","Germany","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"267",90,"Private","1st_2nd_3rd_or_4th_grade","Widowed","Not_in_universe_or_children","Adm_support_including_clerical","Black","All_other","Female","Children_or_Armed_Forces","Single","Nonfamily_householder","Householder",1697.6,2,"United-States","United-States","United-States","Native-_Born_in_the_United_States",40,"-_50000."
"268",48,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Finance_insurance_and_real_estate","Executive_admin_and_managerial","White","All_other","Male","Full-time_schedules","Joint_both_under_65","Householder","Householder",1434.39,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"50000+."
"269",22,"Private","Some_college_but_no_degree","Never_married","Retail_trade","Sales","Asian_or_Pacific_Islander","All_other","Male","Full-time_schedules","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",2076.96,3,"United-States","England","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"270",59,"Private","High_school_graduate","Married-civilian_spouse_present","Construction","Precision_production_craft_&_repair","White","All_other","Male","Children_or_Armed_Forces","Joint_both_under_65","Householder","Householder",2073.21,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"271",14,"Private","Children","Never_married","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Children_or_Armed_Forces","Nonfiler","Child_<18_never_marr_not_in_subfamily","Child_under_18_never_married",1168.4,0,"United-States","United-States","United-States","Native-_Born_in_the_United_States",0,"-_50000."
"272",39,"Private","High_school_graduate","Married-civilian_spouse_present","Not_in_universe_or_children","Adm_support_including_clerical","White","All_other","Female","Not_in_labor_force","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",1721.83,6,"United-States","United-States","United-States","Native-_Born_in_the_United_States",26,"-_50000."
"273",30,"Private","Some_college_but_no_degree","Separated","Retail_trade","Sales","White","All_other","Female","Full-time_schedules","Head_of_household","Householder","Householder",1574.73,3,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"274",31,"Private","Some_college_but_no_degree","Divorced","Finance_insurance_and_real_estate","Adm_support_including_clerical","White","All_other","Female","Full-time_schedules","Head_of_household","Child_18+_ever_marr_RP_of_subfamily","Child_18_or_older",3835.59,5,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
"275",23,"Private","Some_college_but_no_degree","Married-civilian_spouse_present","Retail_trade","Adm_support_including_clerical","Asian_or_Pacific_Islander","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",2853.63,2,"China","China","Vietnam","Foreign_born-_Not_a_citizen_of_U_S",52,"-_50000."
"276",24,"Private","Bachelors_degree(BA_AB_BS)","Married-civilian_spouse_present","Retail_trade","Other_service","Asian_or_Pacific_Islander","All_other","Female","Children_or_Armed_Forces","Joint_both_under_65","Spouse_of_householder","Spouse_of_householder",527.95,1,"China","China","China","Foreign_born-_U_S_citizen_by_naturalization",52,"-_50000."
"277",19,"Private","Associates_degree-occup_/vocational","Never_married","Personal_services_except_private_HH","Other_service","White","Mexican-American","Female","Full-time_schedules","Single","Child_18+_never_marr_Not_in_a_subfamily","Child_18_or_older",2606.68,4,"United-States","United-States","United-States","Native-_Born_in_the_United_States",52,"-_50000."
